name	config_image	container_id	image_id	created	started_at	state	health	ports	networks	repo_digests_json
cleanapp_frontend_embedded	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-frontend-image-embedded:prod	8cbb568e41b62b1170cd1eaa5e75f99705ac432da4efcf0146fb6aa3e29ade91	sha256:f5114210f0dad49981d66733815105639d53521c1635158ba335236b42c833c3	2026-02-05T01:19:25.314797952Z	2026-02-05T01:19:26.157763527Z	running	none	3000/tcp -> 0.0.0.0:3002;3000/tcp -> [::]:3002	deployer_default=172.19.0.15	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-frontend-image-embedded@sha256:cfcf7b4c136660a640516856bdda8985e08392d727d53807e100e5c1adafd761"]
cleanapp_frontend	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-frontend-image:prod	e6e65869fc637a038970f1b6fcf5447e15c846551e65934758024fe3eeaf9330	sha256:141c5b58f45a221b2ad8d18d49331c9a89123c0f31a9a5fbfade4dc6190d921a	2026-02-05T01:13:09.543236774Z	2026-02-05T01:13:11.843156228Z	running	none	3000/tcp -> 0.0.0.0:3001;3000/tcp -> [::]:3001	deployer_default=172.19.0.13	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-frontend-image@sha256:d8aeaf8184f4d4010e759b8802907d7069cd0e6215e7c1443a6de599e9f30a4d"]
cleanapp_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-service-image:prod	51c949d3d9fa4e968f5d87d09995e79a32ae69f7dcff0992a98cd1f27f1a8a7d	sha256:3917c27391b003e9ca19328938692707f08851e76fd86f76544ffc9f6a2ecc9c	2025-12-22T17:47:53.611269848Z	2025-12-22T17:47:53.730471728Z	running	none	8080/tcp -> 0.0.0.0:8079;8080/tcp -> [::]:8079	deployer_default=172.19.0.11	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-service-image@sha256:1f720f299455878068e9a8047df209bdac12ed9e84bb153ef0375e1ce8dc1f28"]
cleanapp_bluesky_analyzer	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-analyzer-image:prod	6901c278bf8364bb45f8f38d40eaea477e51444932c22ebcff3cf03c022ba17d	sha256:25aefc5bc8d6cd682002e3e557f039d813b945694cc7c800e4c13b22735ed851	2025-12-22T12:28:17.330300256Z	2025-12-22T12:28:17.389098157Z	running	none		deployer_default=172.19.0.19	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-analyzer-image@sha256:3aaf75555c3903d6c2ba1f871b496be2fbc491b0e64cd341205597a1f3ed8dcf"]
cleanapp_bluesky_now	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/bluesky-now:v3	4979c9bc3a3b80a5093175eb4b5323a52ae0bfba12aec5d5b47f7adec1a2529e	sha256:a1d3b6189d5b96d71ec3f4fdd78f9929640f7a5a3855f0c398a076a1f5b4c648	2025-12-22T11:44:40.12616055Z	2025-12-22T11:44:40.23385919Z	running	none		deployer_default=172.19.0.32	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/bluesky-now@sha256:d93c7da4ff8a5a28c9c13e91066b7f384a92c3f189defc9aa7635e6ebbda3c1c"]
cleanapp_bluesky_indexer	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-indexer-image:prod	b2df118c853e461fa690b9a96e643089fd1f5ddd3ed1a8663f3be81470478f82	sha256:455da247ad087b665fb4614c05517b4a6f8c156692dac45b3abe02c04349f02d	2025-12-22T10:30:22.663199833Z	2025-12-22T10:30:23.306503798Z	running	none		deployer_default=172.19.0.30	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-indexer-image@sha256:842494ac7ec7ce125b45a8e4e3d7e0570dd30b3564e73d4255f8659e0e0e509a"]
cleanapp_bluesky_submitter	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-submitter-image:prod	fd286c70e40ef1ef1e48e1c76e2e8570fa75d39259b738bbfe8bd545d4866952	sha256:90245166b334b15a413d51b51c9818a0ba5288c07c80d7244b9fbbb4a697adab	2025-12-22T10:30:22.653979617Z	2025-12-22T10:30:23.309521946Z	running	none		deployer_default=172.19.0.8	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-bluesky-submitter-image@sha256:e8db5c5f40c7b18af5baa0e7a20c4e0fef1faef22d41ab4428fd0abcd775155c"]
cleanapp_report_analyze_pipeline	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-analyze-pipeline-image:prod	a48c556dfc7581f79c4ba61ea7da340065b2aaec01906c1a809383935932f115	sha256:29147b9089a9c79d0d36f6fc9f2e8b91db1324955722d32f567e8b07048eeffd	2025-12-22T09:44:59.079727623Z	2025-12-22T09:44:59.364821828Z	running	none	8080/tcp -> 0.0.0.0:9082;8080/tcp -> [::]:9082	deployer_default=172.19.0.24	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-analyze-pipeline-image@sha256:41f89e2fedba4d922c4f7da0fbad6c2222868ff34659f78ff6d4b48cec7c5f38"]
cleanapp_edge_city_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	6d65368796014c9187b49f3620babca029311108b893f4f1d456468d5564a1cf	sha256:d20b0cd4ffecc83f69f2d880458bad10b7ab8c7e318acb6f220fce07669e9938	2025-12-22T00:48:09.229015911Z	2025-12-22T00:48:27.74242503Z	running	none	8080/tcp -> 0.0.0.0:9095;8080/tcp -> [::]:9095	deployer_default=172.19.0.23	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:86d2eec3edb9e9f9a76d5848c0bd799d6313af5d4bb75bf5c33ca87d03f8a5b1"]
cleanapp_report_tags_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-tags-service-image:prod	33e09fe8a992ea53072e0951ed61ec07ceb39ec55d49570aa28e177a68f0ff8a	sha256:fbccf90855ee5ba87c3a722918aa045182de32064ee7feb093b5b46a24ec7e0b	2025-12-22T00:48:09.222834212Z	2025-12-22T00:48:27.966242229Z	running	healthy	8080/tcp -> 0.0.0.0:9098;8080/tcp -> [::]:9098	deployer_default=172.19.0.18	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-tags-service-image@sha256:5b95b06c1c8afad5e0ada0612420988a15dfbc52d724a474249df8433c9a8315"]
cleanapp_web	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-web-image:prod	5228702fe08226012dc20fa07a78479f2f29c700f4e25476e04a2f85a85b308d	sha256:667dea7e48c5d9fa4929f308b7f6b65ff48f931aa0694b12e0279ad88c1777ca	2025-12-22T00:48:09.220149601Z	2025-12-22T00:48:27.041977876Z	running	none	3000/tcp -> 0.0.0.0:3000;3000/tcp -> [::]:3000	deployer_default=172.19.0.2	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-web-image@sha256:7af5382d44379b796e7146890beb6e25f1dff5be5f4f238dee5b4f4516d72356"]
cleanapp_report_renderer_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-fast-renderer-image:prod	b0de25eaad09730fa65902c5208326fbf566710dd6649336e093478ac093fddf	sha256:1e4df51363fbad6d4f34b6e28ce28509912659b6f0305623e0c2ba3c68a28214	2025-12-22T00:48:09.217909813Z	2025-12-22T00:48:27.583430554Z	running	healthy	8080/tcp -> 0.0.0.0:9093;8080/tcp -> [::]:9093	deployer_default=172.19.0.20	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-fast-renderer-image@sha256:693ceeb0ac73d8db7325c8651fc979411355208164763f08708ecbd21cf92098"]
cleanapp_red_bull_dashboard	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-brand-dashboard-image:prod	7d4f0e214e9a9cbc1c9aee2cca9fbb9320b82821e984871c75e51ab05b200bcd	sha256:0f92709de313c12f31b3ea4354cce14cf84be17e381492f963953a6840524a01	2025-12-22T00:48:09.215920284Z	2025-12-22T00:48:27.059003065Z	running	healthy	8080/tcp -> 0.0.0.0:9085;8080/tcp -> [::]:9085	deployer_default=172.19.0.5	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-brand-dashboard-image@sha256:9022e6b2726ec55af0d0f39dd3507ed8c6c6b49c6812f1450a0e2645d063c009"]
cleanapp_devconnect_2025_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	2d8c1ceaef111a6f869d7d5312455f538256ebf71493b010025c86515290c075	sha256:d20b0cd4ffecc83f69f2d880458bad10b7ab8c7e318acb6f220fce07669e9938	2025-12-22T00:48:09.214509349Z	2025-12-22T00:48:27.799029968Z	running	none	8080/tcp -> 0.0.0.0:9094;8080/tcp -> [::]:9094	deployer_default=172.19.0.29	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:86d2eec3edb9e9f9a76d5848c0bd799d6313af5d4bb75bf5c33ca87d03f8a5b1"]
cleanapp_pipelines	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-pipelines-image:prod	52e86d74c236f6f6ab863edf3e26ee347e2e9dc7bcc61602c7089bede93d6325	sha256:9397443534dd38368eac350e738501f7f2406c5fbc71fb95c75fbcc293601990	2025-12-22T00:48:09.213337725Z	2025-12-22T00:48:27.051173532Z	running	none	8090/tcp -> 0.0.0.0:8090;8090/tcp -> [::]:8090	deployer_default=172.19.0.6	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-pipelines-image@sha256:73c927f20452cdd9b9605b5d5fbe16032a942c0c06add2a43b80c94bff9c5428"]
cleanapp_voice_assistant_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-voice-assistant-service-image:prod	a59f26470df193f75f086c33278d7cef48c5bc35e8afeedaadeaad162048450d	sha256:8beef9293ffe82629534129a1ca32bc2ba74b0452c76938abfd6d30037863944	2025-12-22T00:48:09.212678282Z	2025-12-22T00:48:27.030818458Z	running	none	8080/tcp -> 0.0.0.0:9092;8080/tcp -> [::]:9092	deployer_default=172.19.0.4	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-voice-assistant-service-image@sha256:48edf7c694fbc76fbe61d65b6b4137866847ac636a0d47dd16e88534bc8fd65a"]
cleanapp_new_york_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	7ab5c27499fab16dfdca3a170440dff456bfdb8929fefc5df5a8e7213c10e906	sha256:d20b0cd4ffecc83f69f2d880458bad10b7ab8c7e318acb6f220fce07669e9938	2025-12-22T00:48:09.210682025Z	2025-12-22T00:48:27.687380152Z	running	none	8080/tcp -> 0.0.0.0:9088;8080/tcp -> [::]:9088	deployer_default=172.19.0.14	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:86d2eec3edb9e9f9a76d5848c0bd799d6313af5d4bb75bf5c33ca87d03f8a5b1"]
cleanapp_customer_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-customer-service-image:prod	6cb9e4335a2097477da23f988b8877667b01d3a7436226bea654549e3f66d386	sha256:5565f9bb4bae38ffe4a20b9693ad0caf492fd5bf8638a463d1e6babe57856e97	2025-12-22T00:48:09.208995417Z	2025-12-22T00:48:27.069107262Z	running	none	8080/tcp -> 0.0.0.0:9080;8080/tcp -> [::]:9080	deployer_default=172.19.0.9	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-customer-service-image@sha256:c44cb9d2cc4860d2c789f14f612a8f046955f6a22be43b054bc2265fbf347e9b"]
cleanapp_montenegro_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image:prod	33ce026943530616b42ad3c667f48a7294d04dfb2e63a1b99bbe3282413b9ee9	sha256:d20b0cd4ffecc83f69f2d880458bad10b7ab8c7e318acb6f220fce07669e9938	2025-12-22T00:48:09.208429048Z	2025-12-22T00:48:27.722376098Z	running	none	8080/tcp -> 0.0.0.0:9083;8080/tcp -> [::]:9083	deployer_default=172.19.0.21	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:86d2eec3edb9e9f9a76d5848c0bd799d6313af5d4bb75bf5c33ca87d03f8a5b1"]
84ea7885beaa_cleanapp_areas_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-areas-service-image:prod	14bf2ca2becc31fe836d52c0495f76c25f936d64b48ba095a0638f4d4bf564b7	sha256:08d47f8c31b83a61a8c53432f4628d9507dfcdc971213dc3d2e263de91b65bda	2025-12-22T00:47:30.235492114Z	2025-12-22T00:47:47.059438884Z	running	none	8080/tcp -> 0.0.0.0:9086;8080/tcp -> [::]:9086	deployer_default=172.19.0.17	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-areas-service-image@sha256:e2885fe492f0a275f4f9ffd8baa2d4dc4770f919be7ff062ad768b88ac4b9c17"]
fd599f74b05f_cleanapp_auth_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-auth-service-image:prod	a9f8bcda266402da17fa7071dc715b5717b1d222f5f96bf6f8590bf334c4ba50	sha256:c74b9ce4531bd4c1f9cecd06d253e13e5b80e8e73240823b8492cf5c6b1aa241	2025-12-22T00:47:30.230790493Z	2025-12-22T00:47:47.107160976Z	running	none	8080/tcp -> 0.0.0.0:9084;8080/tcp -> [::]:9084	deployer_default=172.19.0.22	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-auth-service-image@sha256:4a5f82884e6f936a36795226764ab10cc68dcb16d3bcf4f0f791e8ea37758df9"]
5c8f50873b4c_cleanapp_email_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-service-image:prod	084d4b7a86c1dee04e6da042a79286af715673a25221c8664828ddcde7de7a14	sha256:ff27df01a0db2d8308a78648085d19ba27997534f2953077404205050a1545d7	2025-12-22T00:47:30.227782049Z	2025-12-22T00:47:47.052209849Z	running	none	8080/tcp -> 0.0.0.0:9089;8080/tcp -> [::]:9089	deployer_default=172.19.0.12	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-service-image@sha256:df393ac8738f1c54fad552d8e5f176fe8219c68af66df25d768a842743262647"]
093e3a8bfd19_cleanapp_report_listener_v4	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-v4-image:prod	77bd757896a6b560d1463d2559ee7375dd51148c10ea9f88fd86968ac13d82ee	sha256:e2ec585b826e0414734d136e81c415e65245c12921e98f04119615774e0f3305	2025-12-22T00:47:30.222486661Z	2025-12-22T00:47:47.123196997Z	running	none	8080/tcp -> 0.0.0.0:9097;8080/tcp -> [::]:9097	deployer_default=172.19.0.27	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-v4-image@sha256:1a4ee597071c6384a26a09b9f84e7dc02376660d32e3deb49f6a2442bc3f536c"]
cleanapp_report_processor	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-processor-image:prod	7f8b58ca0733552df12eabaff77e1048b567b794179baa7d07d08a09af63d44c	sha256:52608714b4ad05fbd917535fde02ffe82bf370f2f04476ef1e93d15c5ca938f2	2025-12-22T00:47:30.216647205Z	2025-12-22T09:23:40.173869786Z	running	none	8080/tcp -> 0.0.0.0:9087;8080/tcp -> [::]:9087	deployer_default=172.19.0.31	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-processor-image@sha256:847e2e067f260d17fb9fe858689bd95ddd2f809d71005975cb60e9952a0af84e"]
cleanapp_report_listener	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-image:prod	c0a5a02ad07a1c628bbe141f374868c62e1e2cbdee2d67802cbcd13c34ecb901	sha256:cc2f8e169c43b7870dff3ed069eec61b81204be8b1cea3aad099002978d37206	2025-12-22T00:47:07.893887118Z	2025-12-22T00:47:46.528319832Z	running	healthy	8080/tcp -> 0.0.0.0:9081;8080/tcp -> [::]:9081	deployer_default=172.19.0.7	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-image@sha256:68e22f791cbff80e16902c95c6957224910e197b7a77874e7ab3d5b3ffdda04e"]
