name	config_image	container_id	image_id	created	started_at	state	health	ports	networks	repo_digests_json
cleanapp_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-service-image@sha256:c34d8af78db3604d88c6f67a0157e004411adc69ad907e02cd8d15c6d71b8097	937b7bd0b3c96caf544e92cfc8121f71d2690a8818a67fb3edabf04d3a863e92	sha256:587adce18bd4ff36edf945c0a4eaf295a6a397a21ea441cccc5896566679ed20	2026-02-09T07:31:40.959579666Z	2026-02-09T07:32:14.312644189Z	running	none	127.0.0.1:8079->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-service-image@sha256:c34d8af78db3604d88c6f67a0157e004411adc69ad907e02cd8d15c6d71b8097"]
cleanapp_report_listener_v4	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-v4-image@sha256:55f7ee54e1e0b68fc607e74caf2850930eb4f25c03d45f54c5de9917e59d4b1f	d197c3197e49be9df720d332159885934c79174b58342c4d6ab8e3cbf0dd1834	sha256:4e64ed2b9d93c9b4ca415b7b570344c5f3dd896556811165904555d74b4386ef	2026-02-09T07:22:47.290467519Z	2026-02-09T07:23:01.07135306Z	running	none	127.0.0.1:9097->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-listener-v4-image@sha256:55f7ee54e1e0b68fc607e74caf2850930eb4f25c03d45f54c5de9917e59d4b1f"]
cleanapp_email_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-service-image@sha256:3c2c00427efb5dd9a55b57499d830b4bd6a564df5fd1bd6dcfde9f043cc7e678	53cb8664eb5503e740a4cac35f488c89cbdc0735abec37aa45f815b7ba9f11cd	sha256:ee6e8969066b1c8b039f25b3e76efc058b51d6341552702f5fc47f66957a355b	2026-02-09T07:22:47.285170824Z	2026-02-09T07:23:00.630117818Z	running	none	127.0.0.1:9089->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-email-service-image@sha256:3c2c00427efb5dd9a55b57499d830b4bd6a564df5fd1bd6dcfde9f043cc7e678"]
cleanapp_report_analyze_pipeline	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-analyze-pipeline-image@sha256:f87d704cb6c8a528b3b87b4b6deae354f05ebdf91ff29828ee32a847d73d713a	8640b4273ea55c41f1891578fd28189c047fc4d8e767a465a0498d0d673d449e	sha256:b635ac90099f008beea3da834b598601d1c2ab52d59c85a7927681d6613e2ab9	2026-02-09T07:22:47.28196342Z	2026-02-09T07:23:01.07259177Z	running	none	127.0.0.1:9082->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-analyze-pipeline-image@sha256:f87d704cb6c8a528b3b87b4b6deae354f05ebdf91ff29828ee32a847d73d713a"]
cleanapp_devconnect_2025_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:b99119b2e07eb3cc2624afbcf0522638034ce528df4d966fbefdbdfff662daa2	d7ade1af69d0d437841b5c93c9465c4e3b3facc005d7f89164ebda2798cd79a7	sha256:6c4bd94c11b2f545413d292b49ff8f2128c54d1e8ec94af729907ef139a3650a	2026-02-09T07:22:47.279151717Z	2026-02-09T07:23:00.985251511Z	running	none	127.0.0.1:9094->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:b99119b2e07eb3cc2624afbcf0522638034ce528df4d966fbefdbdfff662daa2"]
cleanapp_voice_assistant_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-voice-assistant-service-image@sha256:eb725e8485b7eaaefe1b144f7454daff5d694bfb9a3802d2c3f612677d045d0c	95637e2e5d2d2a023db1c3b483cffbb7bf9147225dc733d857383e7e303465f6	sha256:ad293657dff0872f56631ce9cec472904896e879999408d1ddc5daf1ac438961	2026-02-09T07:22:47.275984806Z	2026-02-09T07:23:00.896456812Z	running	none	127.0.0.1:9092->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-voice-assistant-service-image@sha256:eb725e8485b7eaaefe1b144f7454daff5d694bfb9a3802d2c3f612677d045d0c"]
cleanapp_report_renderer_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-fast-renderer-image@sha256:783bcbff9df7b1579ecb92650a5a4a7ef4b72320c0c4d4d2b43f585dc4c5479a	ca3a24a89b7b0b895850df932c5705d65185d34fcf4138a576134a3aad7d7266	sha256:b16b8f92013bf602bcea00822463072fcd6c58b764f32434610f162694e3b32a	2026-02-09T07:22:47.273091265Z	2026-02-09T07:23:00.905132573Z	running	healthy	127.0.0.1:9093->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-fast-renderer-image@sha256:783bcbff9df7b1579ecb92650a5a4a7ef4b72320c0c4d4d2b43f585dc4c5479a"]
cleanapp_auth_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-auth-service-image@sha256:e7d0766735b64b02825a90b70da3b97598860d0ce721de3dd38667f20f6aadde	7bca9b15143ac584d074bc6fd5a8cea4d7b85bc55e6d96a21071f3e19fe6d218	sha256:d0b0e768c4e698ef29fd986c7c7139d37b5f7d1f058eea9cd85c689c9c74a1e6	2026-02-09T07:22:47.271351746Z	2026-02-09T07:23:01.074831007Z	running	none	127.0.0.1:9084->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-auth-service-image@sha256:e7d0766735b64b02825a90b70da3b97598860d0ce721de3dd38667f20f6aadde"]
cleanapp_report_tags_service	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-tags-service-image@sha256:cfd555b150b7a5d3a21931bea9054eb3de6b8b1aa3c61818f0987839099dcead	059da989076aace1b3ab92604ebcf314de62dba344894d0b92862e9e202ba6ae	sha256:dc28bd3531e4460c523c11219c0ebffbc019addbe4fd32455677ccec05d22068	2026-02-09T07:22:47.269628176Z	2026-02-09T07:23:01.073762785Z	running	healthy	127.0.0.1:9098->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-report-tags-service-image@sha256:cfd555b150b7a5d3a21931bea9054eb3de6b8b1aa3c61818f0987839099dcead"]
cleanapp_new_york_areas	us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:b99119b2e07eb3cc2624afbcf0522638034ce528df4d966fbefdbdfff662daa2	a44dcb335ed076c72895b7f045a02b2962759bf5846f71e271ec48a90bd7f2f0	sha256:6c4bd94c11b2f545413d292b49ff8f2128c54d1e8ec94af729907ef139a3650a	2026-02-09T07:22:47.267685461Z	2026-02-09T07:23:01.066043284Z	running	none	127.0.0.1:9088->8080/tcp	deployer_default	["us-central1-docker.pkg.dev/cleanup-mysql-v2/cleanapp-docker-repo/cleanapp-custom-area-dashboard-image@sha256:b99119b2e07eb3cc2624afbcf0522638034ce528df4d966fbefdbdfff662daa2"]
